Unnamed: 0,Symbol,MACD,RSI
174,EA,1.0,45.75332116098975
175,EMR,1.0,49.368345561869035
176,ETR,1.0,56.8547473374122
177,EOG,-1.0,34.045179607455864
178,EFX,1.0,70.56103366201972
179,EQIX,1.0,60.176667916222115
180,EQR,1.0,57.066997079387555
181,ESS,1.0,64.80229326681109
182,EL,1.0,66.81368201538866
183,EVRG,1.0,58.985351911396926
184,ES,1.0,63.53138075313808
185,RE,1.0,56.70868274389291
186,EXC,1.0,54.963235294117645
187,EXPE,1.0,71.55182672854932
188,EXPD,1.0,46.75799086757991
189,EXR,1.0,62.60736196319019
190,XOM,1.0,45.99923430321593
191,FFIV,1.0,55.21434138737334
192,FB,-1.0,38.327893713117724
193,FAST,1.0,55.13043478260869
194,FRT,-1.0,50.302852102322845
195,FDX,1.0,39.16624106230847
196,FIS,1.0,59.39031028851389
197,FITB,1.0,45.737122557726465
198,FE,1.0,54.372623574144484
199,FRC,1.0,46.452462470371344
200,FISV,1.0,58.567880794701985
201,FLT,-1.0,47.947840663946025
202,FLIR,1.0,60.77586206896552
203,FLS,1.0,49.70760233918129
204,FMC,1.0,62.943405868074784
205,FL,-1.0,18.108310117551127
206,F,1.0,33.53783231083845
207,FTNT,-1.0,31.998884084251642
208,FTV,1.0,42.57560556112942
209,FBHS,1.0,49.72051267573824
210,FOXA,-1.0,16.59335659032307
211,FOX,-1.0,17.86892975011787
212,BEN,1.0,51.75042348955393
213,FCX,1.0,54.71698113207547
214,GPS,-1.0,16.493839209466884
215,GRMN,1.0,61.59017345837829
216,IT,1.0,61.88349514563107
217,GD,1.0,61.09871031746031
218,GE,1.0,50.985432733504716
219,GIS,-1.0,45.13018322082931
220,GM,1.0,44.750302241235
221,GPC,1.0,65.7692066871204
222,GILD,1.0,49.675324675324674
223,GPN,1.0,62.349724797219004
224,GS,-1.0,45.898789459178694
225,GWW,1.0,57.65213183810555
226,HAL,-1.0,25.726141078838168
227,HBI,1.0,44.377399890290725
228,HOG,1.0,53.824392288348704
229,HRS,1.0,78.96954415765377
230,HIG,1.0,58.907337975361536
231,HAS,1.0,69.72685349414687
232,HCA,1.0,64.04640371229698
233,HCP,1.0,48.02652352383961
234,HP,1.0,33.864696734059095
235,HSIC,1.0,62.85714285714286
236,HSY,1.0,73.14280602889217
237,HES,-1.0,29.417715827338128
238,HPE,-1.0,44.75587703435804
239,HLT,1.0,50.46948356807512
240,HFC,-1.0,38.64978902953585
241,HOLX,1.0,75.2409708512368
242,HD,1.0,61.42972536348951
243,HON,1.0,53.077793824895586
244,HRL,1.0,60.74408559929322
245,HST,-1.0,35.50387596899225
246,HPQ,1.0,59.76705490848586
247,HUM,-1.0,51.46142653312048
248,HBAN,1.0,54.20589128454297
249,HII,1.0,60.37824856334162
250,IDXX,1.0,69.81049403001424
251,INFO,1.0,72.07872078720787
252,ITW,1.0,52.8071989492217
253,ILMN,1.0,69.37525278931429
254,IR,1.0,63.16079295154185
255,INTC,1.0,59.64295956409521
256,ICE,1.0,83.3196468897557
257,IBM,1.0,51.4198294829483
258,INCY,-1.0,47.71075581395349
259,IP,1.0,43.95238095238096
260,IPG,-1.0,32.68540038030848
261,IFF,1.0,77.72026685070163
262,INTU,1.0,60.731208270514756
263,ISRG,1.0,59.623175947520835
264,IVZ,-1.0,50.46618070859466
265,IPGP,1.0,48.17915107797486
266,IQV,1.0,67.3585726718886
267,IRM,-1.0,42.94871794871794
268,JKHY,1.0,54.22082302675961
269,JEC,1.0,62.504588599297286
270,JBHT,-1.0,32.493067809427785
271,JEF,-1.0,41.73760640961443
272,SJM,-1.0,38.649191989484265
273,JNJ,1.0,51.55309325946445
274,JCI,1.0,47.548146949344556
275,JPM,1.0,48.92901146810729
276,JNPR,1.0,65.35081400374585
277,KSU,1.0,46.17928832116788
278,K,1.0,39.57604173545533
279,KEY,1.0,53.00469483568075
280,KEYS,1.0,50.90849387040279
281,KMB,1.0,68.03840238616768
282,KIM,1.0,52.5660964230171
283,KMI,1.0,62.90952810339645
284,KLAC,1.0,60.22352510076952
285,KSS,-1.0,10.506103969601426
286,KHC,-1.0,38.199411022297014
287,KR,1.0,52.27736233854521
288,LB,-1.0,47.39884393063584
289,LLL,1.0,80.3031937850669
290,LH,1.0,61.067357512953365
291,LRCX,1.0,47.29197588828644
292,LW,1.0,27.605352284714897
293,LEG,-1.0,47.94757163178217
294,LEN,1.0,48.03651644689175
295,LLY,-1.0,41.392296718972894
296,LNC,1.0,49.401749822653116
297,LIN,1.0,63.89750555239441
298,LKQ,1.0,45.96005038689941
299,LMT,1.0,66.33691035099486
300,L,1.0,70.42175360710323
301,LOW,1.0,29.36639118457299
302,LYB,1.0,57.32870024697031
303,MTB,1.0,56.31506916271567
304,MAC,-1.0,18.87393767705383
305,M,1.0,50.14803327224024
306,MRO,-1.0,24.065420560747654
307,MPC,-1.0,35.429791221950325
308,MAR,1.0,54.44975174407642
309,MMC,1.0,68.8321732405259
310,MLM,1.0,63.92175933430593
311,MAS,1.0,52.04163330664531
312,MA,1.0,63.1739839291953
313,MKC,1.0,54.34053784150082
314,MXIM,1.0,69.87991123874167
315,MCD,1.0,53.9204809791361
316,MCK,1.0,65.9572570817109
317,MDT,1.0,86.2052248855373
318,MRK,1.0,71.54416148539306
319,MET,1.0,58.388195232690116
320,MTD,1.0,79.34794993245113
321,MGM,1.0,60.915032679738566
322,MCHP,1.0,55.67793266701736
323,MU,1.0,45.5340699815838
324,MSFT,1.0,58.84480713024858
325,MAA,1.0,58.00565104779845
326,MHK,1.0,63.37579016888386
327,TAP,-1.0,35.477720884627956
328,MDLZ,1.0,67.328739359546
329,MNST,1.0,62.187307996137974
330,MCO,1.0,59.556971898469016
331,MS,1.0,46.46533973919012
332,MOS,1.0,44.94535519125682
333,MSI,1.0,75.16558871659004
334,MSCI,1.0,68.53164486033677
335,MYL,-1.0,29.927745664739888
336,NDAQ,1.0,82.77608915906788
337,NOV,-1.0,23.275862068965523
338,NKTR,1.0,54.896907216494846
339,NTAP,-1.0,31.97952917093143
340,NFLX,1.0,48.2376883804979
341,NWL,1.0,37.34578780401833
342,NEM,1.0,87.05882352941177
343,NWSA,1.0,64.71976401179941
344,NWS,1.0,69.15699141847551
345,NEE,1.0,60.1547053314371
346,NLSN,-1.0,34.272966943824784
347,NKE,1.0,43.70545298411336
348,NI,1.0,52.050168837433674
349,NBL,-1.0,21.869782971619372
350,JWN,-1.0,32.028729685312555
351,NSC,1.0,47.02146960991835
352,NTRS,-1.0,35.66468880191894
353,NOC,1.0,53.95600787918582
354,NCLH,-1.0,34.75670307845084
355,NRG,-1.0,39.1952477023089
356,NUE,1.0,38.93167180061608
357,NVDA,1.0,41.59303306745634
358,ORLY,1.0,87.33424152023589
359,OXY,-1.0,29.093910724490442
360,OMC,-1.0,42.84397326572944
361,OKE,1.0,38.67959440455925
362,ORCL,1.0,48.03809833930316
363,PCAR,1.0,53.682685341704904
364,PKG,1.0,44.883759274525964
365,PH,1.0,54.03797051313732
366,PAYX,1.0,58.47301448003511
367,PYPL,1.0,56.48170731707317
368,PNR,1.0,51.48931577811354
369,PBCT,1.0,47.70328102710413
370,PEP,1.0,62.598645373764995
371,PKI,1.0,75.03656522764803
372,PRGO,-1.0,28.293156632011872
373,PFE,1.0,77.42594484167519
374,PM,-1.0,19.426853159597243
375,PSX,1.0,53.62065309584394
376,PNW,1.0,54.064013476521374
377,PXD,-1.0,36.079117568884556
378,PNC,1.0,60.05991361293019
379,PPG,1.0,55.906699403717994
380,PPL,1.0,58.830226270101036
381,PFG,1.0,49.528137015029706
382,PG,1.0,54.68810861944243
383,PGR,1.0,71.77589134125637
384,PLD,1.0,58.070003271180894
385,PRU,1.0,52.37892619526535
386,PEG,1.0,44.81085116973618
387,PSA,1.0,71.50739297727658
388,PHM,1.0,51.88015526443474
389,PVH,-1.0,27.96272101733298
390,QRVO,1.0,55.37340619307832
391,PWR,1.0,67.09878766054496
392,QCOM,1.0,29.976923509877864
393,DGX,1.0,66.91838212475432
394,RL,1.0,52.74075408261287
395,RJF,-1.0,52.21191667071334
396,RTN,1.0,68.91140081375072
397,O,1.0,60.71220081727962
398,RHT,-1.0,46.30550033134525
399,REG,1.0,53.56146749624544
400,REGN,-1.0,49.28809410484804
401,RF,-1.0,42.28884404727588
402,RSG,1.0,62.042942176870746
403,RMD,1.0,70.03041784513582
404,RHI,-1.0,44.70550109373735
405,ROK,1.0,48.24527807454292
406,ROL,1.0,63.27174402884182
407,ROP,1.0,58.0181661022233
408,ROST,1.0,51.63359910995736
409,RCL,-1.0,47.19830959461575
410,CRM,1.0,47.49118852768995
411,SBAC,1.0,64.77294427682082
412,SLB,-1.0,27.326581310911536
413,STX,1.0,45.05217493258295
414,SEE,1.0,71.32667617689017
415,SRE,1.0,61.464998118178386
416,SHW,1.0,70.36393523605113
417,SPG,-1.0,22.757022515892658
418,SWKS,1.0,56.96599101649491
419,SLG,1.0,56.88834154351396
420,SNA,1.0,49.93900748544497
421,SO,1.0,55.35951180684532
422,LUV,-1.0,41.07397111668588
423,SPGI,1.0,72.36179727926199
424,SWK,1.0,58.14198116838135
425,SBUX,1.0,61.41153867887212
426,STT,-1.0,36.61354834613675
427,SYK,1.0,75.92592592592592
428,STI,1.0,58.41645456421545
429,SIVB,-1.0,39.50948172255724
430,SYMC,-1.0,43.713053203387126
431,SYF,-1.0,32.0499831138129
432,SNPS,1.0,57.99484203739522
433,SYY,-1.0,35.98618260633974
434,TROW,1.0,57.094688404934736
435,TTWO,1.0,63.747528148835706
436,TPR,1.0,44.21863300887795
437,TGT,1.0,88.89591901297058
438,TEL,1.0,56.3045723406253
439,FTI,1.0,52.387181164159585
440,TFX,1.0,63.860743050142894
441,TXN,1.0,64.47899762237235
442,TXT,1.0,52.22271126760564
443,TMO,1.0,75.91661686645341
444,TIF,-1.0,41.101726309550266
445,TWTR,1.0,50.26313942881202
446,TJX,-1.0,42.367986798679866
447,TMK,1.0,56.52173913043478
448,TSS,1.0,82.9816907452439
449,TSCO,1.0,67.79625518368032
450,TDG,1.0,60.12687498363889
451,TRV,1.0,56.480653097741
452,TRIP,1.0,53.20305612694682
453,TSN,1.0,49.88947222989777
454,UDR,1.0,61.0595303113053
455,ULTA,1.0,46.303990305548346
456,USB,1.0,62.37283278406648
457,UAA,1.0,67.8714859437751
458,UA,1.0,68.70447078988717
459,UNP,-1.0,44.46926951187185
460,UAL,1.0,54.856285094790685
461,UNH,1.0,58.61513389384792
462,UPS,1.0,51.94169096209913
463,URI,1.0,47.080181001949526
464,UTX,-1.0,38.12095691443916
465,UHS,-1.0,54.86834307001947
466,UNM,1.0,41.812865497076025
467,VFC,1.0,37.148071919537095
468,VLO,-1.0,32.98345844682123
469,VAR,1.0,52.06489675516224
470,VTR,-1.0,46.07465618860512
471,VRSN,1.0,67.09841129744042
472,VRSK,1.0,65.55099312452253
473,VZ,-1.0,41.392251815980636
474,VRTX,1.0,54.13354925062379
475,VIAB,1.0,57.58555133079848
476,V,1.0,64.2400780536934
477,VNO,1.0,52.5554002794969
478,VMC,1.0,61.199205667032224
479,WAB,1.0,56.90640039580803
480,WMT,1.0,81.31233234747918
481,WBA,1.0,49.916065133456435
482,DIS,1.0,58.01351523651664
483,WM,1.0,74.49514817728823
484,WAT,1.0,55.00382204555878
485,WEC,1.0,59.14596273291926
486,WCG,1.0,71.97073429931946
487,WFC,1.0,54.3509272467903
488,WELL,1.0,58.507295173961836
489,WDC,-1.0,29.718355454839752
490,WU,1.0,62.81673541543901
491,WRK,1.0,48.96008173392687
492,WY,1.0,47.04365761430045
493,WHR,1.0,52.501841785636074
494,WMB,1.0,49.677716390423576
495,WLTW,1.0,74.25280478683621
496,WYNN,-1.0,44.560296079204946
497,XEL,1.0,57.70962899420974
498,XRX,1.0,65.0218787822363
499,XLNX,1.0,59.99857214250018
500,XYL,1.0,73.95149588889657
501,YUM,1.0,76.51253359662114
502,ZBH,1.0,67.65006075334144
503,ZION,-1.0,41.917861672032
504,ZTS,1.0,78.90795631825273
